employeeNumber,month,salary
1002,2024-01,150000
1002,2024-02,152000
1002,2024-03,149500
1002,2024-04,151200
1002,2024-05,153800
1002,2024-06,152500
1002,2024-07,154200
1002,2024-08,155000
1002,2024-09,153200
1002,2024-10,156000
1002,2024-11,157500
1002,2024-12,158000
1056,2024-01,140000
1056,2024-02,141500
1056,2024-03,139800
1056,2024-04,142200
1056,2024-05,143000
1056,2024-06,141900
1056,2024-07,144500
1056,2024-08,145200
1056,2024-09,143800
1056,2024-10,146000
1056,2024-11,147300
1056,2024-12,148000
1165,2024-01,90000
1165,2024-02,91000
1165,2024-03,89500
1165,2024-04,92000
1165,2024-05,92500
1165,2024-06,91500
1165,2024-07,93000
1165,2024-08,93500
1165,2024-09,92200
1165,2024-10,94000
1165,2024-11,94500
1165,2024-12,95200
